Niveaukop,Uur,datum,minuut,ernong,N_Slacht_dood,N_Slacht_Zh,Aardong,loctypon,X,Y,N_Personenauto,N_Brom_snorfiets,N_Fiets,N_Voetganger
Ongeval exact gekoppeld aan BN,19.00-19.59,01MAR06,8,Letsel,0,0,Voetganger,Wegvak,91628.843,395420.562,1,0,0,1
Ongeval exact gekoppeld aan BN,7.00-07.59,07MAR06,2,Letsel,0,0,Flank,Wegvak,91262.92,394574.668,1,0,1,0
Ongeval exact gekoppeld aan BN,7.00-07.59,07MAR06,45,Letsel,0,0,Flank,Kruispunt,116522,538016,1,0,3,0
Ongeval exact gekoppeld aan BN,14.00-14.59,01FEB06,33,Letsel,0,0,Flank,Kruispunt,170978,383535,2,0,0,0
Ongeval gekoppeld op straat niveau,15.00-15.59,03MAR06,40,Letsel,0,0,Vast voorwerp,Wegvak,215326.599,547950.006,1,0,0,0
Ongeval exact gekoppeld aan BN,18.00-18.59,15MAR06,10,Letsel,0,0,Flank,Kruispunt,116885.74,494933.882,1,1,0,0
Ongeval exact gekoppeld aan BN,17.00-17.59,10MAR06,36,Letsel,0,1,Flank,Kruispunt,90869,391919,2,0,0,0
Ongeval exact gekoppeld aan BN,13.00-13.59,09MAR06,15,Letsel,0,0,Geparkeerd,Wegvak,70952,446767,1,0,1,0
Ongeval exact gekoppeld aan BN,13.00-13.59,23FEB06,30,Letsel,0,0,Flank,Kruispunt,81346,453330,0,0,1,0
Ongeval exact gekoppeld aan BN,19.00-19.59,07JAN06,25,Letsel,0,0,Flank,Kruispunt,115864,487783,2,0,0,0
Ongeval exact gekoppeld aan BN,1.00-01.59,12MAR06,40,Letsel,0,0,Flank,Kruispunt,78402,452282,2,0,0,0
Ongeval gekoppeld op straat niveau,10.00-10.59,26FEB06,48,Letsel,0,0,Vast voorwerp,Wegvak,113055.604,483560.104,1,0,0,0
Ongeval exact gekoppeld aan BN,0.00-00.59,22MAR06,48,Letsel,0,0,Eenzijdig,Wegvak,168301.814,363983.907,1,0,0,0
Ongeval exact gekoppeld aan BN,18.00-18.59,27MAR06,35,Letsel,0,0,Frontaal,Kruispunt,31960,392370,1,0,1,0
Ongeval exact gekoppeld aan BN,13.00-13.59,18MAR06,50,Letsel,0,0,Flank,Kruispunt,167777,438305,0,1,1,0
Ongeval exact gekoppeld aan BN,13.00-13.59,25FEB06,55,Letsel,0,1,Frontaal,Kruispunt,206267,374088,2,0,0,0
Ongeval exact gekoppeld aan BN,9.00-09.59,11JAN06,29,Letsel,0,0,Frontaal,Kruispunt,78200,452566,2,0,0,0
Ongeval exact gekoppeld aan BN,14.00-14.59,12MAR06,35,Letsel,0,0,Flank,Kruispunt,152205,373117,2,0,0,0
Ongeval exact gekoppeld aan BN,19.00-19.59,25FEB06,45,Letsel,0,0,Frontaal,Wegvak,182264,553614,1,0,2,0
Ongeval exact gekoppeld aan BN,20.00-20.59,15MAR06,50,Letsel,0,0,Kop/staart,Kruispunt,96269,437783,2,0,0,0
Ongeval exact gekoppeld aan BN,16.00-16.59,08MAR06,18,Letsel,0,0,Frontaal,Kruispunt,132221,399595,0,0,1,0
Ongeval exact gekoppeld aan BN,13.00-13.59,20MAR06,47,Letsel,0,0,Kop/staart,Wegvak,104154.971,421959.319,0,0,0,0
Ongeval exact gekoppeld aan BN,8.00-08.59,14MAR06,55,Letsel,0,0,Flank,Kruispunt,175559,497235,1,1,0,0
Ongeval exact gekoppeld aan BN,22.00-22.59,03MAR06,44,Letsel,0,0,Vast voorwerp,Wegvak,179980.482,533496.705,1,0,0,0
Ongeval exact gekoppeld aan BN,23.00-23.59,13FEB06,15,Letsel,0,0,Kop/staart,Wegvak,165367.07,509743.468,2,0,0,0
Ongeval exact gekoppeld aan BN,19.00-19.59,15FEB06,35,Letsel,0,0,Vast voorwerp,Wegvak,177819.403,537204.657,1,0,0,0
Ongeval exact gekoppeld aan BN,21.00-21.59,06MAR06,17,Letsel,0,0,Vast voorwerp,Wegvak,254950.808,565978.675,0,0,0,0
Ongeval exact gekoppeld aan BN,14.00-14.59,28MAR06,5,Letsel,0,0,Vast voorwerp,Wegvak,128852.345,461401.045,1,0,0,0
